person_age,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22.0,Master,71948.0,0,RENT,35000.0,PERSONAL,0.49,3.0,561,No,1
25.0,HighSchool,12438.0,3,MORTGAGE,5500.0,MEDICAL,0.44,3.0,635,No,1
23.0,Bachelor,79753.0,0,RENT,35000.0,MEDICAL,0.44,2.0,675,No,1
24.0,Master,66135.0,1,RENT,35000.0,MEDICAL,0.53,4.0,586,No,1
21.0,HighSchool,12951.0,0,OWN,2500.0,VENTURE,0.19,2.0,532,No,1
26.0,Bachelor,93471.0,1,RENT,35000.0,EDUCATION,0.37,3.0,701,No,1
24.0,HighSchool,95550.0,5,RENT,35000.0,MEDICAL,0.37,4.0,585,No,1
24.0,Associate,100684.0,3,RENT,35000.0,PERSONAL,0.35,2.0,544,No,1
21.0,HighSchool,12739.0,0,OWN,1600.0,VENTURE,0.13,3.0,640,No,1
22.0,HighSchool,102985.0,0,RENT,35000.0,VENTURE,0.34,4.0,621,No,1
21.0,Associate,13113.0,0,OWN,4500.0,HOMEIMPROVEMENT,0.34,2.0,651,No,1
23.0,Bachelor,114860.0,3,RENT,35000.0,VENTURE,0.3,2.0,573,No,1
26.0,Master,130713.0,0,RENT,35000.0,EDUCATION,0.27,4.0,708,No,1
23.0,HighSchool,111369.0,0,RENT,35000.0,MEDICAL,0.31,4.0,694,No,1
23.0,Bachelor,136628.0,0,RENT,35000.0,DEBTCONSOLIDATION,0.26,4.0,709,No,1
24.0,Master,14283.0,1,MORTGAGE,1750.0,EDUCATION,0.12,2.0,679,No,1
22.0,Master,79255.0,0,RENT,34000.0,EDUCATION,0.43,4.0,691,No,1
22.0,Bachelor,97420.0,1,RENT,33950.0,PERSONAL,0.35,4.0,691,No,1
24.0,HighSchool,82443.0,0,RENT,33000.0,HOMEIMPROVEMENT,0.4,3.0,654,No,1
21.0,Associate,14288.0,0,MORTGAGE,4575.0,VENTURE,0.32,3.0,626,No,1
24.0,Bachelor,79054.0,1,RENT,32500.0,HOMEIMPROVEMENT,0.41,3.0,700,No,1
21.0,Bachelor,14988.0,0,OTHER,4000.0,EDUCATION,0.27,2.0,553,No,1
21.0,HighSchool,14858.0,0,OWN,2000.0,MEDICAL,0.13,3.0,589,No,1
26.0,Bachelor,114645.0,2,RENT,31050.0,HOMEIMPROVEMENT,0.27,3.0,681,No,1
21.0,Associate,15150.0,0,OWN,2500.0,EDUCATION,0.17,4.0,600,No,1
22.0,Bachelor,58868.0,0,RENT,30000.0,EDUCATION,0.51,2.0,606,No,1
24.0,HighSchool,78026.0,3,RENT,30000.0,DEBTCONSOLIDATION,0.38,3.0,582,No,1
25.0,Bachelor,90785.0,4,RENT,30000.0,HOMEIMPROVEMENT,0.33,4.0,649,No,1
23.0,HighSchool,86811.0,0,RENT,30000.0,DEBTCONSOLIDATION,0.35,4.0,602,No,1
26.0,Bachelor,75503.0,5,RENT,30000.0,MEDICAL,0.4,2.0,616,No,1
24.0,HighSchool,15082.0,0,OWN,2500.0,VENTURE,0.17,3.0,631,No,1
26.0,Bachelor,98230.0,2,RENT,30000.0,PERSONAL,0.31,3.0,622,No,1
22.0,HighSchool,80838.0,0,RENT,30000.0,MEDICAL,0.37,3.0,645,No,1
26.0,Master,107957.0,2,RENT,30000.0,DEBTCONSOLIDATION,0.28,3.0,654,No,1
24.0,Bachelor,94649.0,2,RENT,30000.0,DEBTCONSOLIDATION,0.32,4.0,624,No,1
23.0,HighSchool,94550.0,1,RENT,30000.0,DEBTCONSOLIDATION,0.32,3.0,570,No,1
23.0,Bachelor,111153.0,3,RENT,30000.0,PERSONAL,0.27,3.0,648,No,1
23.0,Associate,117250.0,0,RENT,30000.0,VENTURE,0.26,2.0,652,No,1
26.0,HighSchool,316466.0,6,MORTGAGE,10000.0,EDUCATION,0.03,4.0,579,No,1
25.0,Associate,267671.0,0,MORTGAGE,25000.0,MEDICAL,0.09,2.0,582,No,1
22.0,Master,85191.0,0,RENT,29100.0,EDUCATION,0.34,3.0,700,No,1
25.0,HighSchool,15162.0,1,OWN,3000.0,MEDICAL,0.2,3.0,564,No,1
22.0,Associate,69042.0,0,RENT,28000.0,MEDICAL,0.41,2.0,598,No,1
21.0,HighSchool,15307.0,0,OWN,3000.0,EDUCATION,0.2,3.0,557,No,1
23.0,Associate,79183.0,0,RENT,28000.0,EDUCATION,0.35,2.0,677,No,1
26.0,Bachelor,102654.0,4,RENT,28000.0,VENTURE,0.27,3.0,690,No,1
26.0,Associate,15229.0,1,OWN,6100.0,EDUCATION,0.4,3.0,599,No,1
22.0,HighSchool,106566.0,0,RENT,28000.0,VENTURE,0.26,3.0,604,No,1
21.0,Bachelor,15252.0,0,OWN,4200.0,PERSONAL,0.28,4.0,663,No,1
22.0,Bachelor,15432.0,3,OWN,4750.0,DEBTCONSOLIDATION,0.31,2.0,601,No,1
24.0,HighSchool,100332.0,1,RENT,28000.0,VENTURE,0.28,4.0,634,No,1
26.0,Bachelor,15505.0,0,OWN,2700.0,DEBTCONSOLIDATION,0.17,4.0,587,No,1
22.0,Master,130852.0,0,RENT,28000.0,EDUCATION,0.21,4.0,683,No,1
24.0,Bachelor,83853.0,3,RENT,27600.0,HOMEIMPROVEMENT,0.33,2.0,690,No,1
21.0,Bachelor,15394.0,0,MORTGAGE,3250.0,DEBTCONSOLIDATION,0.21,3.0,518,No,1
22.0,Bachelor,85243.0,0,RENT,27500.0,EDUCATION,0.32,3.0,583,No,1
26.0,Associate,89074.0,4,RENT,27050.0,VENTURE,0.3,2.0,668,No,1
24.0,Master,100509.0,2,RENT,27000.0,PERSONAL,0.27,2.0,673,No,1
24.0,HighSchool,88950.0,3,RENT,27000.0,VENTURE,0.3,3.0,706,No,1
23.0,HighSchool,75894.0,1,RENT,26000.0,MEDICAL,0.34,2.0,536,No,1
22.0,Bachelor,73131.0,3,RENT,25475.0,VENTURE,0.35,3.0,681,No,1
25.0,Bachelor,266090.0,4,MORTGAGE,11900.0,DEBTCONSOLIDATION,0.04,3.0,669,No,1
23.0,Associate,100756.0,0,RENT,25300.0,EDUCATION,0.25,3.0,689,No,1
22.0,HighSchool,16218.0,1,MORTGAGE,2000.0,PERSONAL,0.12,4.0,614,No,1
21.0,Bachelor,51922.0,3,RENT,25000.0,EDUCATION,0.48,3.0,673,No,1
24.0,Associate,50309.0,3,RENT,25000.0,HOMEIMPROVEMENT,0.5,3.0,625,No,1
25.0,HighSchool,16378.0,0,OWN,3000.0,DEBTCONSOLIDATION,0.18,4.0,603,No,1
24.0,Bachelor,16572.0,0,MORTGAGE,3650.0,HOMEIMPROVEMENT,0.22,3.0,589,No,1
26.0,Associate,256862.0,2,MORTGAGE,35000.0,EDUCATION,0.14,2.0,643,No,1
24.0,HighSchool,16470.0,2,MORTGAGE,4500.0,DEBTCONSOLIDATION,0.27,4.0,643,No,1
23.0,HighSchool,16599.0,0,OWN,2400.0,DEBTCONSOLIDATION,0.14,2.0,505,No,1
22.0,Bachelor,51608.0,0,RENT,25000.0,MEDICAL,0.48,2.0,593,No,1
26.0,Master,58516.0,6,RENT,25000.0,EDUCATION,0.43,4.0,686,No,1
